,t2m_mean,t2m_historical,day_of_year
10024680,283.9269,9.000577154392172,119
10024681,284.26382,9.08474438675053,120
10024682,284.83655,9.195513171684475,121
10024683,283.71774,9.348214944979063,122
10024684,283.38492,9.51381473696331,123
10024685,285.4673,9.688687902931298,124
10024686,286.16013,9.877623817009678,125
10024687,285.7063,10.065758533012598,126
10024688,286.45032,10.22249626841974,127
10024689,285.6268,10.354871349799947,128
10024690,285.9033,10.466914280837168,129
10024691,285.08926,10.578135420636455,130
10024692,284.96738,10.678485752508914,131
10024693,284.3998,10.753409433752562,132
10024694,284.5025,10.832580169429646,133
10024695,284.77036,10.903210399596695,134
10024696,284.2809,10.968129823266029,135
10024697,284.1959,11.03226695487172,136
10024698,284.8064,11.101358702124642,137
10024699,285.40216,11.182681150358889,138
10024700,285.32153,11.249137766768316,139
10024701,286.02243,11.295959522278352,140
10024702,286.08334,11.325805664062521,141
10024703,286.4047,11.379248046875023,142
10024704,285.59424,11.436221933752563,143
10024705,286.2043,11.522562712382518,144
10024706,286.31876,11.629955756955052,145
10024707,286.00797,11.750795144181934,146
10024708,286.2811,11.89527369553483,147
10024709,287.25815,12.021704399294993,148
10024710,285.5537,12.16178608716021,149
10024711,285.52216,12.310169449472838,150
10024712,286.17648,12.423527812182442,151
10024713,285.74393,12.513946979801853,152
10024714,285.48486,12.599589079570018,153
10024715,287.03683,12.688382727150048,154
10024716,287.1418,12.791758269023143,155
10024717,286.03723,12.910474724498243,156
10024718,285.8653,13.04032329776425,157
10024719,286.8055,13.175602461652081,158
10024720,287.48517,13.283890986248752,159
10024721,289.75717,13.36772783481011,160
10024722,291.80798,13.446857632272634,161
10024723,291.56125,13.512520593162495,162
10024724,291.31985,13.593725188960898,163
10024725,291.9735,13.666149554989225,164
10024726,291.0747,13.719343132701368,165
10024727,291.20377,13.792088404709752,166
10024728,291.0796,13.862841449520474,167
10024729,290.90897,13.934739325298548,168
10024730,290.85507,14.019518745236303,169
10024731,290.84872,14.11209359517914,170
10024732,290.755,14.194713065294739,171
10024733,290.90866,14.258920511385313,172
10024734,290.85855,14.32486810451603,173
10024735,291.04794,14.395652311991892,174
10024736,292.26205,14.492154799050454,175
10024737,293.39847,14.601702980103555,176
10024738,290.19254,14.685784415888614,177
10024739,290.00558,14.74719838708399,178
10024740,291.42368,14.826219015974363,179
10024741,289.80582,14.925788792555917,180
10024742,288.9819,15.030393919906018,181
10024743,290.2549,15.148880029693876,182
10024744,289.03366,15.252702616869941,183
10024745,288.6088,15.329919086239226,184
10024746,288.13928,15.406537361455179,185
10024747,288.2713,15.47940083325396,186
10024748,289.32632,15.546968587239606,187
10024749,292.7315,15.598285904550963,188
10024750,292.97305,15.65166129755782,189
10024751,290.88425,15.672559040348727,190
10024752,290.88696,15.676594258130102,191
10024753,291.0691,15.709491363773523,192
10024754,289.8602,15.766184836286861,193
10024755,289.8182,15.806433552067476,194
10024756,290.16742,15.823714788173294,195
10024757,290.42935,15.830431583063412,196
10024758,289.63504,15.826119077108762,197
10024759,289.39456,15.823976544636075,198
10024760,289.47922,15.848716971544738,199
10024761,290.06714,15.869405309165419,200
10024762,289.165,15.890023133812905,201
10024763,288.70688,15.920832390513867,202
10024764,288.9277,15.955635629049183,203
10024765,290.82767,15.993708565564683,204
10024766,288.74826,16.045526470401445,205
10024767,288.32822,16.077477332634675,206
10024768,288.95193,16.101706900247734,207
10024769,291.12146,16.11517140458272,208
10024770,291.1967,16.132554713303502,209
10024771,290.81638,16.161125021833737,210
10024772,289.92184,16.175428585889886,211
10024773,290.28372,16.182640361010566,212
10024774,289.97128,16.19957032242444,213
10024775,290.12476,16.210727648231096,214
10024776,289.75467,16.209308804147636,215
10024777,289.15182,16.21225680219451,216
10024778,287.72147,16.218224055592632,217
10024779,288.01535,16.224381163062144,218
10024780,288.65854,16.22929151581557,219
10024781,288.6093,16.222980480659324,220
10024782,290.28574,16.206484613186,221
10024783,292.42886,16.177275618886583,222
10024784,292.39743,16.160656589415037,223
10024785,290.97458,16.144861981151575,224
10024786,290.63797,16.128843726181426,225
10024787,291.02216,16.118895144578907,226
10024788,290.4268,16.108440913999004,227
10024789,290.81766,16.07315683752543,228
10024790,291.39264,16.04370241242698,229
10024791,292.20538,16.019426051194127,230
10024792,292.6175,15.99195844448681,231
10024793,291.50803,15.94605127350104,232
10024794,291.06876,15.916984744188284,233
10024795,291.57312,15.880524227483509,234
10024796,291.5032,15.831415043032289,235
10024797,291.6669,15.791414983485796,236
10024798,289.11374,15.776291712319003,237
10024799,288.32755,15.746548288236811,238
10024800,288.40176,15.698034320614225,239
10024801,288.91098,15.639529791110922,240
10024802,288.7902,15.587065260972455,241
10024803,288.14847,15.52758997475231,242
10024804,288.0934,15.48303177996382,243
10024805,290.37857,15.432669538792577,244
10024806,290.92703,15.374772036172534,245
10024807,291.75253,15.321299780868927,246
10024808,293.06018,15.276402220687268,247
10024809,293.37143,15.19996228722055,248
10024810,293.64505,15.096054598180281,249
10024811,294.30774,15.004085087970042,250
10024812,293.94534,14.949265444375659,251
10024813,294.92194,14.86795689032332,252
10024814,294.64172,14.787122673716993,253
10024815,292.50626,14.699669963557568,254
10024816,290.72183,14.613471848402588,255
10024817,289.22565,14.521776996395474,256
10024818,289.96426,14.445817702378706,257
10024819,290.93402,14.366453242108129,258
10024820,291.21756,14.292523838446414,259
10024821,291.09573,14.234534683847839,260
10024822,289.87967,14.167696771389124,261
10024823,289.82187,14.085082412347582,262
10024824,290.642,13.99773897000447,263
10024825,287.22278,13.943303401295754,264
10024826,286.18634,13.884591997348219,265
10024827,286.6925,13.809396734470297,266
10024828,289.67285,13.732802724450607,267
10024829,289.9885,13.649402302067475,268
10024830,289.99423,13.590507594162878,269
10024831,290.2512,13.539307186467884,270
10024832,289.78687,13.4825893991362,271
10024833,289.334,13.418083575489097,272
10024834,288.15134,13.35022895626908,273
10024835,291.11578,13.258177023786862,274
10024836,290.20523,13.15844478452111,275
10024837,288.12988,13.059105651359271,276
10024838,287.648,12.937786964478555,277
10024839,288.26666,12.836443148977413,278
10024840,289.59048,12.725252229023779,279
10024841,290.51553,12.60912386266199,280
10024842,289.9984,12.485871254525556,281
10024843,289.94394,12.35398356119794,282
10024844,289.74973,12.23147349784047,283
10024845,289.7174,12.116684183260313,284
10024846,288.1243,12.015144559038387,285
10024847,289.5823,11.90591792905236,286
10024848,283.9029,11.796417285950227,287
10024849,281.47513,11.665647528423548,288
10024850,282.19614,11.5518356695408,289
10024851,284.66382,11.443456435785084,290
10024852,286.6358,11.328162712779495,291
10024853,289.00183,11.240194627715344,292
10024854,287.25366,11.138598384702131,293
10024855,285.54803,11.029055513211405,294
10024856,284.4981,10.90882320248986,295
10024857,284.9807,10.803028038459118,296
10024858,284.88998,10.729856959397255,297
10024859,284.09946,10.64639078776044,298
10024860,285.13324,10.550621218797659,299
10024861,284.32834,10.404646164808838,300
10024862,285.34863,10.240596516927106,301
10024863,285.02298,10.073977983676343,302
10024864,284.77554,9.922349486312267,303
10024865,284.4542,9.7916328740314,304
10024866,285.32974,9.653410972036989,305
10024867,283.87332,9.509889977928124,306
10024868,283.53555,9.378201666110922,307
10024869,282.93597,9.278866949314047,308
10024870,283.62064,9.144635357120196,309
10024871,283.2615,9.007876512480967,310
10024872,282.64914,8.847183599704671,311
10024873,283.28033,8.6722725224689,312
10024874,282.10352,8.490056976070273,313
10024875,281.50098,8.301711862455562,314
10024876,280.74738,8.181720963144713,315
10024877,281.5579,8.090233829157162,316
10024878,285.77057,7.98328867346293,317
10024879,284.63284,7.883399181831197,318
10024880,283.12167,7.756985796176344,319
10024881,281.06967,7.632314145468137,320
10024882,281.4675,7.5161023147707295,321
10024883,285.2725,7.391785660410338,322
10024884,285.49295,7.233517282377437,323
10024885,283.7593,7.1487542377255044,324
10024886,283.08273,7.079263280853046,325
10024887,282.00726,6.976953025755867,326
10024888,284.6063,6.885267453077386,327
10024889,280.9554,6.812954736725124,328
10024890,277.42758,6.75272623697919,329
10024891,278.77216,6.6677883737455765,330
10024892,280.9881,6.600716145833355,331
10024893,278.6404,6.553219927035719,332
10024894,276.8789,6.482276283822431,333
10024895,276.35468,6.418899461699717,334
10024896,274.87546,6.354334339669102,335
10024897,274.10242,6.290586145912751,336
10024898,277.83896,6.223441469766282,337
10024899,279.4984,6.167190427702639,338
10024900,279.2387,6.087455885972457,339
10024901,277.6101,6.033391391164911,340
10024902,280.02698,6.033303659330561,341
10024903,281.88754,6.031257344067604,342
10024904,283.07663,6.0101718809546725,343
10024905,283.19907,5.953882084047914,344
10024906,282.97046,5.8952766232374465,345
