xvar,est,lb,hb
2.2,0.939570682331023,0.9376145857147595,0.9415296142469832
2.25,0.9401581584509665,0.9382258536925451,0.9420932271868419
2.3,0.9407489730590545,0.9388403639248963,0.9426602760828501
2.35,0.9413431185927305,0.9394581126473969,0.9432307495512199
2.4,0.941940587488963,0.940079096064434,0.9438046362391133
2.45,0.9425413721839698,0.9407033103481595,0.9443819248251175
2.5,0.9431454651129398,0.9413307516374634,0.9449626040196993
2.55,0.9437528587097561,0.9419614160369834,0.9455466625656406
2.6,0.9443635454067185,0.9425952996161168,0.9461340892384524
2.65,0.9449775176342711,0.9432323984080708,0.9467248728467759
2.7,0.9455947678207272,0.943872708408925,0.9473190022327569
2.75,0.9462152883919936,0.9445162255767194,0.9479164662724006
2.8,0.9468390717713049,0.9451629458305667,0.9485172538759035
2.85,0.9474661103789443,0.945812865049787,0.9491213539879728
2.9,0.9480963966319808,0.9464659790730657,0.9497287555881123
2.95,0.9487299229439947,0.9471222836976357,0.9503394476908935
3.0,0.949366681724811,0.9477817746784821,0.950953419346203
3.05,0.9500066653802336,0.9484444477275759,0.9515706596394706
3.1,0.9506498663117761,0.9491102985131242,0.9521911576918648
3.15,0.9512962769163984,0.9497793226588539,0.9528149026604822
3.2,0.9519458895862422,0.9504515157433099,0.9534418837384991
3.25,0.9525986967083644,0.9511268732991867,0.95407209015531
3.3,0.9532546906644799,0.9518053908126791,0.9547055111766412
3.35,0.9539138638306959,0.9524870637228612,0.9553421361046387
3.4,0.9545762085772524,0.9531718874210799,0.9559819542779405
3.45,0.9552417172682628,0.9538598572503911,0.9566249550717213
3.5,0.9559103822614556,0.9545509685049982,0.957271127897717
3.55,0.9565821959079165,0.9552452164297298,0.9579204622042277
3.6,0.9572571505518302,0.9559425962195371,0.9585729474760981
3.65,0.957935238530227,0.95664310301901,0.95922857323468
3.7,0.9586164521727285,0.957346731921922,0.959887329037769
3.75,0.9593007838012894,0.9580534779707942,0.9605492044795212
3.8,0.9599882257299511,0.9587633361564871,0.9612141891903555
3.85,0.9606787702645857,0.9594763014178052,0.9618822728368244
3.9,0.9613724097026464,0.9601923686411349,0.9625534451214796
3.95,0.962069136332916,0.9609115326600917,0.9632276957827038
4.0,0.9627689424352647,0.9616337882552028,0.963905014594532
4.05,0.963471820280393,0.962359130153595,0.9645853913664539
4.1,0.9641777621295925,0.9630875530287132,0.9652688159431941
4.15,0.9648867602344969,0.9638190515000586,0.9659552782044776
4.2,0.9655988068368373,0.9645536201329391,0.9666447680647782
4.25,0.9663138941682012,0.9652912534382463,0.9673372754730467
4.3,0.9670320144497864,0.9660319458722456,0.968032790412427
4.35,0.9677531598921603,0.9667756918363892,0.968731302899954
