xvar,est,lb,hb,group
-10.55,0.8447985560649673,0.8275705952343716,0.862288358818477,GDP3
-10.5,0.8452053647821922,0.8280565320769132,0.8626134366739044,GDP3
-10.45,0.845611597216001,0.828540288866458,0.8629396058705651,GDP3
-10.4,0.8460172603650996,0.8290219014647142,0.8632668428499763,GDP3
-10.35,0.8464223612403892,0.8295014059379973,0.8635951239027087,GDP3
-10.3,0.846826906864916,0.8299788385389925,0.8639244251862372,GDP3
-10.25,0.8472309042738261,0.830454235688363,0.8642547227429547,GDP3
-10.2,0.8476343605143198,0.8309276339562275,0.8645859925183078,GDP3
-10.15,0.8480372826456066,0.831399070043573,0.8649182103790077,GDP3
-10.1,0.8484396777388595,0.8318685807636096,0.8652513521312971,GDP3
-10.05,0.848841552877174,0.8323362030231313,0.8655853935392153,GDP3
-10.0,0.8492429151555196,0.8328019738039097,0.8659203103428308,GDP3
-9.95,0.8496437716807002,0.8332659301441558,0.86625607827641,GDP3
-9.9,0.8500441295713105,0.8337281091200903,0.8665926730864798,GDP3
-9.85,0.8504439959576934,0.8341885478276567,0.8669300705497449,GDP3
-9.8,0.8508433779818964,0.8346472833644106,0.8672682464908342,GDP3
-9.75,0.8512422827976369,0.8351043528116201,0.8676071767998457,GDP3
-9.7,0.8516407175702517,0.8355597932166011,0.8679468374496415,GDP3
-9.65,0.8520386894766664,0.8360136415753338,0.8682872045128829,GDP3
-9.6,0.852436205705348,0.8364659348153667,0.8686282541787647,GDP3
-9.55,0.8528332734562712,0.8369167097790586,0.8689699627694241,GDP3
-9.5,0.8532298999408782,0.8373660032071633,0.8693123067560034,GDP3
-9.45,0.8536260923820356,0.8378138517227939,0.8696552627743379,GDP3
-9.4,0.8540218580140059,0.8382602918157879,0.8699988076402458,GDP3
-9.35,0.8544172040824025,0.8387053598274825,0.870342918364405,GDP3
-9.3,0.8548121378441558,0.8391490919359321,0.8706875721667976,GDP3
-9.25,0.8552066665674779,0.8395915241415783,0.8710327464907011,GDP3
-9.2,0.8556007975318248,0.8400326922533817,0.8713784190162125,GDP3
-9.15,0.8559945380278627,0.8404726318754445,0.8717245676733013,GDP3
-9.1,0.8563878953574335,0.840911378394113,0.8720711706543637,GDP3
-9.05,0.8567808768335189,0.8413489669655925,0.8724182064262862,GDP3
-9.0,0.8571734897802086,0.8417854325040655,0.872765653741991,GDP3
-8.95,0.8575657415326656,0.8422208096703282,0.8731134916514806,GDP3
-8.9,0.8579576394370949,0.8426551328609437,0.8734616995123569,GDP3
-8.85,0.8583491908507086,0.8430884361979251,0.8738102569998171,GDP3
-8.8,0.8587404031416993,0.8435207535189388,0.874159144116134,GDP3
-8.75,0.8591312836892022,0.8439521183680319,0.8745083411996082,GDP3
-8.7,0.8595218398832717,0.8443825639868879,0.8748578289330007,GDP3
-8.65,0.8599120791248435,0.8448121233066015,0.8752075883514443,GDP3
-8.6,0.8603020088257124,0.8452408289399698,0.8755576008498435,GDP3
-8.55,0.8606916364084971,0.8456687131742969,0.8759078481897614,GDP3
-8.5,0.8610809693066148,0.8460958079647113,0.8762583125057996,GDP3
-8.45,0.8614700149642532,0.8465221449279685,0.876608976311487,GDP3
-8.4,0.8618587808363409,0.8469477553367606,0.8769598225046784,GDP3
-8.35,0.8622472743885208,0.8473726701145048,0.8773108343724586,GDP3
-8.3,0.8626355030971249,0.847796919830596,0.8776619955955989,GDP3
-8.25,0.863023474449146,0.8482205346961379,0.8780132902525343,GDP3
-8.2,0.8634111959422147,0.8486435445601126,0.8783647028228957,GDP3
-8.15,0.8637986750845709,0.8490659789060004,0.8787162181906071,GDP3
-8.1,0.8641859193950431,0.8494878668488246,0.8790678216465536,GDP3
-8.05,0.8645729364030196,0.8499092371326118,0.8794194988908336,GDP3
-8.0,0.8649597336484299,0.8503301181282578,0.8797712360346148,GDP3
-7.95,0.8653463186817169,0.8507505378317861,0.8801230196015916,GDP3
-7.9,0.8657326990638181,0.8511705238629784,0.8804748365290834,GDP3
-7.85,0.8661188823661413,0.8515901034643758,0.8808266741687537,GDP3
-7.8,0.8665048761705427,0.8520093035006203,0.8811785202869967,GDP3
-7.75,0.8668906880693088,0.8524281504581472,0.8815303630649788,GDP3
-7.7,0.8672763256651318,0.8528466704451851,0.8818821910983637,GDP3
-7.65,0.8676617965710911,0.8532648891920793,0.8822339933967304,GDP3
-7.6,0.8680471084106364,0.8536828320518963,0.8825857593827018,GDP3
-7.55,0.8684322688175635,0.8541005240013213,0.8829374788907886,GDP3
-7.5,0.8688172854360006,0.8545179896418209,0.883289142165966,GDP3
-7.45,0.869202165920386,0.8549352532010582,0.883640739862004,GDP3
-7.4,0.8695869179354542,0.8553523385345508,0.8839922630395568,GDP3
-7.35,0.8699715491562169,0.8557692691275604,0.8843437031640194,GDP3
-7.3,0.8703560672679471,0.8561860680971972,0.8846950521031787,GDP3
-7.25,0.8707404799661622,0.8566027581947229,0.8850463021246556,GDP3
-7.2,0.8711247949566095,0.8570193618080568,0.8853974458931674,GDP3
-7.15,0.8715090199552502,0.8574359009644487,0.8857484764676014,GDP3
-7.1,0.8718931626882459,0.857852397333329,0.8860993872979327,GDP3
-7.05,0.8722772308919444,0.8582688722293121,0.8864501722219802,GDP3
-7.0,0.8726612323128662,0.8586853466153461,0.8868008254620264,GDP3
-6.95,0.8730451747076895,0.8591018411059965,0.8871513416212953,GDP3
-6.9,0.8734290658432405,0.8595183759708577,0.8875017156803161,GDP3
-6.85,0.8738129134964813,0.859934971138077,0.8878519429931726,GDP3
-6.8,0.8741967254544954,0.8603516461979877,0.8882020192836408,GDP3
-6.75,0.8745805095144812,0.8607684204068313,0.8885519406412465,GDP3
-6.7,0.8749642734837367,0.8611853126905762,0.8889017035172276,GDP3
-6.65,0.8753480251796534,0.8616023416488081,0.8892513047204246,GDP3
-6.6,0.8757317724297056,0.862019525558694,0.8896007414130984,GDP3
-6.55,0.8761155230714408,0.8624368823790108,0.8899500111066972,GDP3
-6.5,0.8764992849524699,0.862854429754225,0.8902991116575567,GDP3
-6.45,0.8768830659304656,0.8632721850186227,0.8906480412625657,GDP3
-6.4,0.8772668738731454,0.8636901652004824,0.8909967984547884,GDP3
-6.35,0.8776507166582732,0.8641083870262823,0.8913453820990566,GDP3
-6.3,0.8780346021736481,0.8645268669249303,0.891693791387528,GDP3
-6.25,0.8784185383170999,0.8649456210320293,0.8920420258352367,GDP3
-6.2,0.8788025329964827,0.8653646651941449,0.8923900852756187,GDP3
-6.15,0.8791865941296736,0.8657840149730981,0.8927379698560303,GDP3
-6.1,0.8795707296445634,0.8662036856502542,0.893085680033265,GDP3
-6.05,0.8799549474790545,0.8666236922308233,0.8934332165690673,GDP3
-6.0,0.8803392555810599,0.8670440494481532,0.8937805805256507,GDP3
-5.95,0.8807236619084966,0.8674647717680163,0.8941277732612292,GDP3
-5.9,0.881108174429286,0.8678858733928886,0.8944747964255538,GDP3
-5.85,0.8814928011213503,0.8683073682662104,0.8948216519554728,GDP3
-5.8,0.8818775499726123,0.8687292700766382,0.8951683420705074,GDP3
-5.75,0.8822624289809953,0.8691515922622676,0.8955148692684499,GDP3
-5.7,0.8826474461544196,0.8695743480148331,0.8958612363209907,GDP3
-5.65,0.8830326095108053,0.8699975502838888,0.8962074462693721,GDP3
-5.6,0.8834179270780721,0.8704212117809572,0.8965535024200723,GDP3
-5.55,0.8838034068941427,0.8708453449836403,0.896899408340525,GDP3
-5.5,0.8841890570069384,0.871269962139706,0.8972451678548752,GDP3
-5.45,0.8845748854743882,0.8716950752711371,0.8975907850397669,GDP3
-5.4,0.8849609003644296,0.87212069617814,0.8979362642201812,GDP3
-5.35,0.8853471097550076,0.8725468364431167,0.8982816099653026,GDP3
