city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp126,2066,Netherlands,6946230.2724,11.77212323521248,722054.5889302522,361027.2944651261,1083081.883395329,2307686.466221072,1696828.283986247,2918544.648455786,1066628175.9496856,724473379.7561401,1408782972.143257
Amsterdam,ssp126,2067,Netherlands,6946230.2724,11.776560713281423,723343.780053295,361671.8900266475,1085015.6700798608,2311806.721050316,1699857.8831253804,2923755.5589751205,1068532585.3906072,725766889.5050911,1411298281.276131
Amsterdam,ssp126,2068,Netherlands,6946230.2724,11.781354605406603,724829.4071319373,362414.7035659687,1087244.110697853,2316554.7851936924,1703349.1067602169,2929760.463627,1070727172.5109316,727257493.2450769,1414196851.776833
Amsterdam,ssp126,2069,Netherlands,6946230.2724,11.787061300291708,726678.9374146628,363339.4687073314,1090018.4061219376,2322465.883977245,1707695.5029246013,2937236.265029731,1073459322.0492978,729113219.2184615,1417805424.8801477
Amsterdam,ssp126,2070,Netherlands,6946230.2724,11.79280390969046,728616.930544699,364308.4652723495,1092925.39581699,2328659.7100208635,1712249.786780195,2945069.6332613453,1076322150.0251694,731057704.3784318,1421586595.6719344
Amsterdam,ssp126,2071,Netherlands,6946230.2724,11.7984078615631,730575.5780385901,365287.7890192951,1095863.367057826,2334919.547411334,1716852.6083908377,2952986.486431656,1079215488.8886914,733022913.091739,1425408064.6856694
Amsterdam,ssp126,2072,Netherlands,6946230.2724,11.803376470441464,732389.4060583477,366194.7030291738,1098584.1090874602,2340716.5417624866,1721115.104237276,2960317.979287532,1081894898.5924227,734842817.2041364,1428946979.980734
Amsterdam,ssp126,2073,Netherlands,6946230.2724,11.80688241166799,733738.9789843218,366869.4894921609,1100608.4684764256,2345029.7768339035,1724286.6006133244,2965772.9530543173,1083888504.7967358,736196911.0273747,1431580098.566121
Amsterdam,ssp126,2074,Netherlands,6946230.2724,11.808228982506822,734334.3840320287,367167.1920160144,1101501.5760479786,2346932.69136636,1725685.8024754126,2968179.5802571294,1084768044.6677103,736794310.6060871,1432741778.7293575
Amsterdam,ssp126,2075,Netherlands,6946230.2724,11.807239579531943,734106.9604474114,367053.4802237057,1101160.4406710565,2346205.8455899227,1725151.3570515623,2967260.334128105,1084432091.6705964,736566125.1814507,1432298058.1597714
